1a|Hwæt! wē Gār-Dena
928a|"þisse ansȳne
928b|al‐wealdan þanc
929a|lungre gelimpe!
929b|Fela ic lāðes gebād,
930a|grynna æt Grendle:
930b|ā mæg god wyrcan
931a|wunder æfter wundre,
931b|wuldres hyrde!
932a|Þæt wæs ungeāra,
932b|þæt ic ǣnigra mē
933a|wēana ne wēnde
933b|tō wīdan feore
934a|bōte gebīdan
934b|þonne blōde fāh
935a|hūsa sēlest
935b|heoro‐drēorig stōd;
936a|wēa wīd‐scofen
936b|witena gehwylcne
937a|þāra þe ne wēndon,
937b|þæt hīe wīde‐ferhð
938a|lēoda land‐geweorc
938b|lāðum beweredon
939a|scuccum and scinnum.
939b|Nū scealc hafað
940a|þurh drihtnes miht
940b|dǣd gefremede,
941a|þē wē ealle
941b|ǣr ne meahton
942a|snyttrum besyrwan.
942b|Hwæt! þæt secgan mæg
943a|efne swā hwylc mægða,
943b|swā þone magan cende
944a|æfter gum‐cynnum,
944b|gyf hēo gȳt lyfað,
945a|þæt hyre eald‐metod
945b|ēste wǣre
946a|bearn‐gebyrdo.
946b|Nū ic Bēowulf
947a|þec, secg betsta,
947b|mē for sunu wylle
948a|frēogan on ferhðe;
948b|heald forð tela
949a|nīwe sibbe.
949b|Ne bið þē nǣnigra gād
950a|worolde wilna,
950b|þē ic geweald hæbbe.
951a|Ful‐oft ic for lǣssan
951b|lēan teohhode
952a|hord‐weorðunge
952b|hnāhran rince,
953a|sǣmran æt sæcce.
953b|Þū þē self hafast
954a|dǣdum gefremed,
954b|þæt þīn dōm lyfað
955a|āwa tō aldre.
955b|Alwalda þec
956a|gōde forgylde,
956b|swā hē nū gȳt dyde!"
957a|Bēowulf maðelode,
957b|bearn Ecgþēowes:
958a|"Wē þæt ellen‐weorc
958b|ēstum miclum,
959a|feohtan fremedon,
959b|frēcne genēðdon
960a|eafoð uncūðes;
960b|ūðe ic swīðor,
961a|þæt þū hinc selfne
961b|gesēon mōste,
962a|fēond on frætewum
962b|fyl‐wērigne!
963a|Ic hine hrædlīce
963b|heardan clammum
964a|on wæl‐bedde
964b|wrīðan þōhte,
965a|þæt hē for mund‐gripe
965b|mīnum scolde
966a|licgean līf‐bysig,
966b|būtan his līc swice;
967a|ic hine ne mihte,
967b|þā metod nolde,
968a|ganges getwǣman,
968b|nō ic him þæs georne ætfealh,
969a|feorh‐genīðlan;
969b|wæs tō fore‐mihtig
970a|fēond on fēðe.
970b|Hwæðere hē his folme forlēt
971a|tō līf‐wraðe
971b|lāst weardian,
972a|earm and eaxle;
972b|nō þǣr ǣnige swā þēah
973a|fēa‐sceaft guma
973b|frōfre gebohte:
974a|nō þȳ leng leofað
974b|lāð‐getēona
975a|synnum geswenced,
975b|ac hyne sār hafað
976a|in nȳd‐gripe
976b|nearwe befongen,
977a|balwon bendum:
977b|þǣr ābīdan sceal
978a|maga māne fāh
978b|miclan dōmes,
979a|hū him scīr metod
979b|scrīfan wille."
980a|Þā wæs swīgra secg,
980b|sunu Ecglāfes,
981a|on gylp‐sprǣce
981b|gūð‐geweorca,
982a|siððan æðelingas
982b|eorles cræfte
983a|ofer hēahne hrōf
983b|hand scēawedon,
984a|fēondes fingras,
984b|foran ǣghwylc;
985a|wæs stēde nægla gehwylc,
985b|stȳle gelīcost,
986a|hǣðenes hand‐sporu
986b|hilde‐rinces
987a|egle unhēoru;
987b|ǣg‐hwylc gecwæð,
988a|þæt him heardra nān
988b|hrīnan wolde
989a|īren ǣr‐gōd,
989b|þæt þæs āhlǣcan
990a|blōdge beadu‐folme
990b|onberan wolde.
991a|Þā wæs hāten hreðe
991b|Heort innan‐weard
992a|folmum gefrætwod:
992b|fela þǣra wæs
993a|wera and wīfa,
993b|þē þæt wīn‐reced,
994a|gest‐sele gyredon.
994b|Gold‐fāg scinon
995a|web æfter wāgum,
995b|wundor‐sīona fela
996a|secga gehwylcum
996b|þāra þe on swylc starað
997a|Wæs þæt beorhte bold
997b|tōbrocen swīðe
998a|eal inne‐weard
998b|īren‐bendum fæst,
999a|heorras tōhlidene;
999b|hrōf āna genæs
1000a|ealles ansund,
1000b|þā se āglǣca
1001a|fyren‐dǣdum fāg
1001b|on flēam gewand,
1002a|aldres or‐wēna.
1002b|Nō þæt ȳðe byð
1003a|tō beflēonne
1003b|(fremme sē þe wille!)
1004a|ac gesacan sceal
1004b|sāwl‐berendra
1005a|nȳde genȳdde
1005b|niðða bearna
1006a|grund‐būendra
1006b|gearwe stōwe,
1007a|þǣr his līc‐homa
1007b|leger‐bedde fæst
1008a|swefeð æfter symle.
1008b|Þā wæs sǣl and mǣl,
1009a|þæt tō healle gang
1009b|Healfdenes sunu;
1010a|wolde self cyning
1010b|symbel þicgan.
1011a|Ne gefrægen ic þā mǣgðe
1011b|māran weorode
1012a|ymb hyra sinc‐gyfan
1012b|sēl gebǣran.
1013a|Bugon þā tō bence
1013b|blǣd‐āgende,
1014a|fylle gefǣgon.
1014b|Fægere geþǣgon
1015a|medo‐ful manig
1015b|māgas þāra
1016a|swīð‐hicgende
1016b|on sele þām hēan,
1017a|Hrōðgār and Hrōðulf.
1017b|Heorot innan wæs
1018a|frēondum āfylled;
1018b|nalles fācen‐stafas
1019a|Þēod‐Scyldingas
1019b|þenden fremedon.
1020a|Forgeaf þā Bēowulfe
1020b|bearn Healfdenes
1021a|segen gyldenne
1021b|sigores tō lēane,
1022a|hroden hilte‐cumbor,
1022b|helm and byrnan;
1023a|mǣre māððum‐sweord
1023b|manige gesāwon
1024a|beforan beorn beran.
1024b|Bēowulf geþah
1025a|ful on flette;
1025b|nō hē þǣre feoh‐gyfte
1026a|for scēotendum
1026b|scamigan þorfte,
1027a|ne gefrægn ic frēondlīcor
1027b|fēower mādmas
1028a|golde gegyrede
1028b|gum‐manna fela
1029a|in ealo‐bence
1029b|ōðrum gesellan.
1030a|Ymb þæs helmes hrōf
1030b|hēafod‐beorge
1031a|wīrum bewunden
1031b|walan ūtan hēold,
1032a|þæt him fēla lāfe
1032b|frēcne ne meahton
1033a|scūr‐heard sceððan,
1033b|þonne scyld‐freca
1034a|ongēan gramum
1034b|gangan scolde.
1035a|Heht þā eorla hlēo
1035b|eahta mēaras,
1036a|fǣted‐hlēore,
1036b|on flet tēon
1037a|in under eoderas;
1037b|þāra ānum stōd
1038a|sadol searwum fāh
1038b|since gewurðad,
1039a|þæt wæs hilde‐setl
1039b|hēah‐cyninges,
1040a|þonne sweorda gelāc
1040b|sunu Healfdenes
1041a|efnan wolde;
1041b|nǣfre on ōre læg
1042a|wīd‐cūðes wīg,
1042b|þonne walu fēollon.
1043a|And þā Bēowulfe
1043b|bēga gehwæðres
1044a|eodor Ingwina
1044b|onweald getēah,
1045a|wicga and wǣpna;
1045b|hēt hine wēl brūcan.
1046a|Swā manlīce
1046b|mǣre þēoden,
1047a|hord‐weard hæleða
1047b|heaðo‐rǣsas geald
1048a|mēarum and mādmum,
1048b|swā hȳ nǣfre man lyhð,
1049a|sē þe secgan wile
1049b|sōð æfter rihte.
1050a|Þā gȳt ǣghwylcum
1050b|eorla drihten
1051a|þāra þe mid Bēowulfe
1051b|brim‐lāde tēah,
1052a|on þǣre medu‐bence
1052b|māððum gesealde,
1053a|yrfe‐lāfe,
1053b|and þone ǣnne heht
1054a|golde forgyldan,
1054b|þone þe Grendel ǣr
1055a|māne ācwealde,
1055b|swā hē hyra mā wolde,
1056a|nefne him wītig god
1056b|wyrd forstōde
1057a|and þæs mannes mōd:
1057b|metod eallum wēold
1058a|gumena cynnes,
1058b|swā hē nū gīt dēð;
1059a|forþan bið andgit
1059b|ǣghwǣr sēlest,
1060a|ferhðes fore‐þanc!
1060b|fela sceal gebīdan
1061a|lēofes and lāðes,
1061b|sē þe longe hēr
1062a|on þyssum win‐dagum
1062b|worolde brūceð.
1063a|Þǣr wæs sang and swēg
1063b|samod ætgædere
1064a|fore Healfdenes
1064b|hilde‐wīsan,
1065a|gomen‐wudu grēted,
1065b|gid oft wrecen,
1066a|þonne heal‐gamen
1066b|Hrōðgāres scop
1067a|æfter medo‐bence
1067b|mǣnan scolde
1068a|Finnes eaferum,
1068b|þā hīe se fǣr begeat:
1069a|"Hæleð Healfdenes,
1069b|Hnæf Scyldinga,
1070a|in Fr..es wæle
1070b|feallan scolde.
1071a|Nē hūru Hildeburh
1071b|herian þorfte
1072a|Eotena trēowe:
1072b|unsynnum wearð
1073a|beloren lēofum
1073b|æt þām lind‐plegan
1074a|bearnum and brōðrum;
1074b|hīe on gebyrd hruron
1075a|gāre wunde;
1075b|þæt wæs geōmuru ides.
1076a|Nalles hōlinga
1076b|Hōces dōhtor
1077a|meotod‐sceaft bemearn,
1077b|syððan morgen cōm,
1078a|þā hēo under swegle
1078b|gesēon meahte
1079a|morðor‐bealo māga,
1079b|þǣr hēo ǣr mǣste hēold
1080a|worolde wynne:
1080b|wīg ealle fornam
1081a|Finnes þegnas,
1081b|nemne fēaum ānum,
1082a|þæt hē ne mehte
1082b|on þǣm meðel‐stede
1083a|wīg Hengeste
1083b|wiht gefeohtan,
1084a|nē þā wēa‐lāfe
1084b|wīge forþringan
1085a|þōodnes þegne;
1085b|ac hig him geþingo budon,
1086a|þæt hīe him ōðer flet
1086b|eal gerȳmdon,
1087a|healle and hēah‐setl,
1087b|þæt hīe healfre geweald
1088a|wið Eotena bearn
1088b|āgan mōston,
1089a|and æt feoh‐gyftum
1089b|Folcwaldan sunu
1090a|dōgra gehwylce
1090b|Dene weorðode,
1091a|Hengestes hēap
1091b|hringum wenede,
1092a|efne swā swīðe
1092b|sinc‐gestrēonum
1093a|fǣttan goldes,
1093b|swā hē Frēsena cyn
1094a|on bēor‐sele
1094b|byldan wolde.
1095a|Þā hīe getruwedon
1095b|on twā healfa
1096a|fæste frioðu‐wǣre;
1096b|Fin Hengeste
1097a|elne unflitme
1097b|āðum benemde,
1098a|þæt hē þā wēa‐lāfe
1098b|weotena dōme
1099a|ārum heolde,
1099b|þæt þǣr ǣnig mon
1100a|wordum nē worcum
1100b|wǣre ne brǣce,
1101a|nē þurh inwit‐searo
1101b|ǣfre gemǣnden,
1102a|þēah hīe hira bēag‐gyfan
1102b|banan folgedon
1103a|þēoden‐lēase,
1103b|þā him swā geþearfod wæs:
1104a|gyf þonne Frȳsna hwylc
1104b|frēcnan sprǣce
1105a|þæs morðor‐hetes
1105b|myndgiend wǣre,
1106a|þonne hit sweordes ecg
1106b|syððan scolde.
1107a|Āð wæs geæfned
1107b|and icge gold
1108a|āhæfen of horde.
1108b|Here‐Scyldinga
1109a|betst beado‐rinca
1109b|wæs on bǣl gearu;
1110a|æt þǣm āde wæs
1110b|ēð‐gesȳne
1111a|swāt‐fāh syrce,
1111b|swȳn eal‐gylden,
1112a|eofer īren‐heard,
1112b|æðeling manig
1113a|wundum āwyrded;
1113b|sume on wæle crungon.
1114a|Hēt þā Hildeburh
1114b|æt Hnæfes āde
1115a|hire selfre sunu
1115b|sweoloðe befæstan,
1116a|bān‐fatu bærnan
1116b|and on bǣl dōn.
1117a|Earme on eaxle
1117b|ides gnornode,
1118a|geōmrode giddum;
1118b|gūð‐rinc āstāh.
1119a|Wand tō wolcnum
1119b|wæl‐fȳra mǣst,
1120a|hlynode for hlāwe;
1120b|hafelan multon,
1121a|ben‐geato burston,
1121b|þonne blōd ætspranc
1122a|lāð‐bite līces.
1122b|Līg ealle forswealg,
1123a|gǣsta gīfrost,
1123b|þāra þe þǣr gūð fornam
1124a|bēga folces;
1124b|wæs hira blǣd scacen.
1125a|"Gewiton him þā wīgend
1125b|wīca nēosian,
1126a|frēondum befeallen
1126b|Frȳsland gesēon,
1127a|hāmas and hēa‐burh.
1127b|Hengest þā gȳt
1128a|wæl‐fāgne winter
1128b|wunode mid Finne
1129a|ealles unhlitme;
1129b|eard gemunde,
1130a|þēah þe hē ne meahte
1130b|on mere drīfan
1131a|hringed‐stefnan;
1131b|holm storme wēol,
1132a|won wið winde;
1132b|winter ȳðe belēac
1133a|īs‐gebinde
1133b|oð þæt ōðer cōm
1134a|geār in geardas,
1134b|swā nū gȳt dēð,
1135a|þā þe syngales
1135b|sēle bewitiað,
1136a|wuldor‐torhtan weder.
1136b|Þā wæs winter scacen,
1137a|fæger foldan bearm;
1137b|fundode wrecca,
1138a|gist of geardum;
1138b|hē tō gyrn‐wræce
1139a|swīðor þōhte,
1139b|þonne tō sǣ‐lāde,
1140a|gif hē torn‐gemōt
1140b|þurhtēon mihte,
1141a|þæt hē Eotena bearn
1141b|inne gemunde.
1142a|Swā hē ne forwyrnde
1142b|worold‐rǣdenne,
1143a|þonne him Hūnlāfing
1143b|hilde‐lēoman,
1144a|billa sēlest,
1144b|on bearm dyde:
1145a|þæs wǣron mid Eotenum
1145b|ecge cūðe.
1146a|Swylce ferhð‐frecan
1146b|Fin eft begeat
1147a|sweord‐bealo slīðen
1147b|æt his selfes hām,
1148a|siððan grimne gripe
1148b|Gūðlaf ond Ōslāf
1149a|æfter sǣ‐siðe
1149b|sorge mǣndon,
1150a|ætwiton wēana dǣl;
1150b|ne meahte wǣfre mōd
1151a|forhabban in hreðre.
1151b|Þā wæs heal hroden
1152a|fēonda fēorum,
1152b|swilce Fin slægen,
1153a|cyning on corðre,
1153b|and sēo cwēn numen.
1154a|Scēotend Scyldinga
1154b|tō scypum feredon
1155a|eal in‐gesteald
1155b|eorð‐cyninges,
1156a|swylce hīe æt Finnes hām
1156b|findan meahton
1157a|sigla searo‐gimma.
1157b|Hīe on sǣ‐lāde
1158a|drihtlīce wīf
1158b|tō Denum feredon,
1159a|lǣddon tō lēodum."
1159b|Lēoð wæs āsungen,
1160a|glēo‐mannes gyd.
1160b|Gamen eft āstāh,
1161a|beorhtode benc‐swēg,
1161b|byrelas sealdon
1162a|wīn of wunder‐fatum.
1162b|Þā cwōm Wealhþēo forð
1163a|gān under gyldnum bēage,
1163b|þǣr þā gōdan twēgen
1164a|sǣton suhter‐gefæderan;
1164b|þā gȳt wæs hiera sib ætgædere
1165a|ǣghwylc ōðrum trȳwe.
1165b|Swylce þǣr Unferð þyle
1166a|æt fōtum sæt frēan Scyldinga:
1166b|gehwylc hiora his ferhðe trēowde,
1167a|þæt hē hæfde mōd micel,
1167b|þēah þe hē his māgum nǣre
1168a|ārfæst æt ecga gelācum.
1168b|Spræc þā ides Scyldinga:
1169a|"Onfōh þissum fulle,
1169b|frēo‐drihten mīn,
1170a|sinces brytta;
1170b|þū on sǣlum wes,
1171a|gold‐wine gumena,
1171b|and tō Gēatum sprec
1172a|mildum wordum!
1172b|Swā sceal man dōn.
1173a|Bēo wið Gēatas glæd,
1173b|geofena gemyndig;
1174a|nēan and feorran
1174b|þū nū friðu hafast.
1175a|Mē man sægde,
1175b|þæt þū þē for sunu wolde
1176a|here‐rinc habban.
1176b|Heorot is gefǣlsod,
1177a|bēah‐sele beorhta;
1177b|brūc þenden þū mōte
1178a|manigra mēda
1178b|and þīnum māgum lǣf
1179a|folc and rīce,
1179b|þonne þū forð scyle
1180a|metod‐sceaft sēon.
1180b|Ic mīnne can
1181a|glædne Hrōðulf,
1181b|þæt hē þā geogoðe wile
1182a|ārum healdan,
1182b|gyf þū ǣr þonne hē,
1183a|wine Scildinga,
1183b|worold oflǣtest;
1184a|wēne ic, þæt hē mid gōde
1184b|gyldan wille
1185a|uncran eaferan,
1185b|gif hē þæt eal gemon,
1186a|hwæt wit tō willan
1186b|and tō worð‐myndum
1187a|umbor wesendum ǣr
1187b|ārna gefremedon."
1188a|Hwearf þā bī bence,
1188b|þǣr hyre byre wǣron,
1189a|Hrēðrīc and Hrōðmund,
1189b|and hæleða bearn,
1190a|giogoð ætgædere;
1190b|þǣr se gōda sæt
1191a|Bēowulf Gēata
1191b|be þǣm gebrōðrum twǣm.
1192a|Him wæs ful boren
1192b|and frēond‐laðu
1193a|wordum bewægned
1193b|and wunden gold
1194a|ēstum geēawed,
1194b|earm‐hrēade twā,
1195a|hrægl and hringas,
1195b|heals‐bēaga mǣst
1196a|þāra þe ic on foldan
1196b|gefrægen hæbbe.
1197a|Nǣnigne ic under swegle
1197b|sēlran hȳrde
1198a|hord‐māððum hæleða,
1198b|syððan Hāma ætwæg
1199a|tō þǣre byrhtan byrig
1199b|Brōsinga mene,
1200a|sigle and sinc‐fæt,
1200b|searo‐nīðas fealh
1201a|Eormenrīces,
1201b|gecēas ēcne rǣd.
1202a|Þone hring hæfde
1202b|Higelāc Gēata,
1203a|nefa Swertinges,
1203b|nȳhstan sīðe,
1204a|siððan hē under segne
1204b|sinc ealgode,
1205a|wæl‐rēaf werede;
1205b|hyne Wyrd fornam,
1206a|syððan hē for wlenco
1206b|wēan āhsode,
1207a|fǣhðe tō Frȳsum;
1207b|hē þā frætwe wæg,
1208a|eorclan‐stānas
1208b|ofer ȳða ful,
1209a|rīce þēoden,
1209b|hē under rande gecranc;
1210a|gehwearf þā in Francna fæðm
1210b|feorh cyninges,
1211a|brēost‐gewǣdu
1211b|and se bēah somod:
1212a|wyrsan wīg‐frecan
1212b|wæl rēafedon
1213a|æfter gūð‐sceare,
1213b|Gēata lēode
1214a|hreā‐wīc hēoldon.
1214b|Heal swēge onfēng.
1215a|Wealhþēo maðelode,
1215b|hēo fore þǣm werede spræc:
1216a|"Brūc þisses bēages,
1216b|Bēowulf, lēofa
1217a|hyse, mid hǣle,
1217b|and þisses hrægles nēot
1218a|þēod‐gestrēona,
1218b|and geþēoh tela,
1219a|cen þec mid cræfte
1219b|and þyssum cnyhtum wes
1220a|lāra līðe!
1220b|ic þē þæs lēan geman.
1221a|Hafast þū gefēred,
1221b|þæt þē feor and nēah
1222a|ealne wīde‐ferhð
1222b|weras ehtigað,
1223a|efne swā sīde
1223b|swā sǣ bebūgeð
1224a|windige weallas.
1224b|Wes, þenden þū lifige,
1225a|æðeling ēadig!
1225b|ic þē an tela
1226a|sinc‐gestrēona.
1226b|Bēo þū suna mīnum
1227a|dǣdum gedēfe
1227b|drēam healdende!
1228a|Hēr is ǣghwylc eorl
1228b|ōðrum getrȳwe,
1229a|mōdes milde,
1229b|man‐drihtne hold,
1230a|þegnas syndon geþwǣre,
1230b|þēod eal gearo:
1231a|druncne dryht‐guman,
1231b|dōð swā ic bidde!"
1232a|Ēode þā tō setle.
1232b|Þǣr wæs symbla cyst,
1233a|druncon wīn weras:
1233b|wyrd ne cūðon,
1234a|geō‐sceaft grimme,
1234b|swā hit āgangen wearð
1235a|eorla manegum,
1235b|syððan ǣfen cwōm
1236a|and him Hrōðgār gewāt
1236b|tō hofe sīnum,
1237a|rīce tō ræste.
1237b|Reced weardode
1238a|unrīm eorla,
1238b|swā hīe oft ǣr dydon:
1239a|benc‐þelu beredon,
1239b|hit geond‐brǣded wearð
1240a|beddum and bolstrum.
1240b|Bēor‐scealca sum
1241a|fūs and fǣge
1241b|flet‐ræste gebēag.
1242a|Setton him tō hēafdum
1242b|hilde‐randas,
1243a|bord‐wudu beorhtan;
1243b|þǣr on bence wæs
1244a|ofer æðelinge
1244b|ȳð‐gesēne
1245a|heaðo‐stēapa helm,
1245b|hringed byrne,
1246a|þrec‐wudu þrymlīc.
1246b|Wæs þēaw hyra,
1247a|þæt hīe oft wǣron
1247b|an wīg gearwe,
1248a|gē æt hām gē on herge,
1248b|gē gehwæðer þāra
1249a|efne swylce mǣla,
1249b|swylce hira man‐dryhtne
1250a|þearf gesǣlde;
1250b|wæs sēo þēod tilu.
1251a|Sigon þā tō slǣpe.
1251b|Sum sāre angeald
1252a|ǣfen‐ræste,
1252b|swā him ful‐oft gelamp,
1253a|siððan gold‐sele
1253b|Grendel warode,
1254a|unriht æfnde,
1254b|oð þæt ende becwōm,
1255a|swylt æfter synnum.
1255b|Þæt gesȳne wearð,
1256a|wīd‐cūð werum,
1256b|þætte wrecend þā gȳt
1257a|lifde æfter lāðum,
1257b|lange þrāge
1258a|æfter gūð‐ceare;
1258b|Grendles mōdor,
1259a|ides āglǣc‐wīf
1259b|yrmðe gemunde,
1260a|sē þe wæter‐egesan
1260b|wunian scolde,
1261a|cealde strēamas,
1261b|siððan Cain wearð
1262a|tō ecg‐banan
1262b|āngan brēðer,
1263a|fæderen‐mǣge;
1263b|hē þā fāg gewāt,
1264a|morðre gemearcod
1264b|man‐drēam flēon,
1265a|wēsten warode.
1265b|Þanon wōc fela
1266a|geōsceaft‐gāsta;
1266b|wæs þǣra Grendel sum,
1267a|heoro‐wearh hetelīc,
1267b|sē æt Heorote fand
1268a|wæccendne wer
1268b|wīges bīdan,
1269a|þǣr him āglǣca
1269b|æt‐grǣpe wearð;
1270a|hwæðre hē gemunde
1270b|mægenes strenge,
1271a|gim‐fæste gife,
1271b|þē him god sealde,
1272a|and him tō anwaldan
1272b|āre gelȳfde,
1273a|frōfre and fultum:
1273b|þȳ hē þone fēond ofercwōm,
1274a|gehnǣgde helle gāst:
1274b|þā hē hēan gewāt,
1275a|drēame bedǣled
1275b|dēað‐wīc sēon,
1276a|man‐cynnes fēond.
1276b|And his mōdor þā gȳt
1277a|gīfre and galg‐mōd
1277b|gegān wolde
1278a|sorh‐fulne sīð,
1278b|suna dēað wrecan.
1279a|Cōm þā tō Heorote,
1279b|þǣr Hring‐Dene
1280a|geond þæt sæld swǣfun.
1280b|Þā þǣr sōna wearð
1281a|ed‐hwyrft eorlum,
1281b|siððan inne fealh
1282a|Grendles mōdor;
1282b|wæs se gryre lǣssa
1283a|efne swā micle,
1283b|swā bið mægða cræft,
1284a|wīg‐gryre wīfes
1284b|be wǣpned‐men,
1285a|þonne heoru bunden,
1285b|hamere geþuren,
1286a|sweord swāte fāh
1286b|swīn ofer helme,
1287a|ecgum dyhtig
1287b|andweard scireð.
1288a|Þā wæs on healle
1288b|heard‐ecg togen,
1289a|sweord ofer setlum,
1289b|sīd‐rand manig
1290a|hafen handa fæst;
1290b|helm ne gemunde,
1291a|byrnan sīde,
1291b|þe hine se brōga angeat.
1292a|Hēo wæs on ofste,
1292b|wolde ūt þanon
1293a|fēore beorgan,
1293b|þā hēo onfunden wæs;
1294a|hraðe hēo æðelinga
1294b|ānne hæfde
1295a|fæste befangen,
1295b|þā hēo tō fenne gang;
1296a|sē wæs Hrōðgāre
1296b|hæleða lēofost
1297a|on gesīðes hād
1297b|be sǣm tweonum,
1298a|rīce rand‐wiga,
1298b|þone þe hēo on ræste ābrēat,
1299a|blǣd‐fæstne beorn.
1299b|Næs Bēowulf þǣr,
1300a|ac wæs ōðer in
1300b|ǣr geteohhod
1301a|æfter māððum‐gife
1301b|mǣrum Gēate.
1302a|Hrēam wearð on Heorote.
1302b|Hēo under heolfre genam
1303a|cūðe folme;
1303b|cearu wæs genīwod
1304a|geworden in wīcum:
1304b|ne wæs þæt gewrixle til,
1305a|þæt hīe on bā healfa
1305b|bicgan scoldon
1306a|frēonda fēorum.
1306b|Þā wæs frōd cyning,
1307a|hār hilde‐rinc,
1307b|on hrēon mōde,
1308a|syððan hē aldor‐þegn
1308b|unlyfigendne,
1309a|þone dēorestan
1309b|dēadne wisse.
1310a|Hraðe wæs tō būre
1310b|Bēowulf fetod,
1311a|sigor‐ēadig secg.
1311b|Samod ǣr‐dæge
1312a|ēode eorla sum,
1312b|æðele cempa
1313a|self mid gesīðum,
1313b|þǣr se snottra bād,
1314a|hwæðre him al‐walda
1314b|ǣfre wille
1315a|æfter wēa‐spelle
1315b|wyrpe gefremman.
1316a|Gang þā æfter flōre
1316b|fyrd‐wyrðe man
1317a|mid his hand‐scale
1317b|(heal‐wudu dynede)
1318a|þæt hē þone wīsan
1318b|wordum hnǣgde
1319a|frēan Ingwina;
1319b|frægn gif him wǣre
1320a|æfter nēod‐laðu
1320b|niht getǣse.
1321a|Hrōðgār maðelode,
1321b|helm Scildinga:
1322a|"Ne frīn þū æfter sǣlum!
1322b|Sorh is genīwod
1323a|Denigea lēodum.
1323b|Dēad is Æsc‐here,
1324a|Yrmenlāfes
1324b|yldra brōðor,
1325a|mīn rūn‐wita
1325b|and mīn rǣd‐bora,
1326a|eaxl‐gestealla,
1326b|þonne wē on orlege
1327a|hafelan weredon,
1327b|þonne hniton fēðan,
1328a|eoferas cnysedan;
1328b|swylc scolde eorl wesan
1329a|æðeling ǣr‐gōd,
1329b|swylc Æsc‐here wæs.
1330a|Wearð him on Heorote
1330b|tō hand‐banan
1331a|wæl‐gǣst wǣfre;
1331b|ic ne wāt hwæder
1332a|atol ǣse wlanc
1332b|eft‐sīðas tēah,
1333a|fylle gefrǣgnod.
1333b|Hēo þā fǣhðe wræc,
1334a|þē þū gystran niht
1334b|Grendel cwealdest
1335a|þurh hǣstne hād
1335b|heardum clammum,
1336a|forþan hē tō lange
1336b|lēode mīne
1337a|wanode and wyrde.
1337b|Hē æt wīge gecrang
1338a|ealdres scyldig,
1338b|and nū ōðer cwōm
1339a|mihtig mān‐scaða,
1339b|wolde hyre mǣg wrecan,
1340a|gē feor hafað
1340b|fǣhðe gestǣled,
1341a|þæs þe þincean mæg
1341b|þegne monegum,
1342a|sē þe æfter sinc‐gyfan
1342b|on sefan grēoteð,
1343a|hreðer‐bealo hearde;
1343b|nū sēo hand ligeð,
1344a|sē þe ēow wēl‐hwylcra
1344b|wilna dohte.
1345a|Ic þæt lond‐būend
1345b|lēode mīne
1346a|sele‐rǣdende
1346b|secgan hȳrde,
1347a|þæt hīe gesāwon
1347b|swylce twēgen
1348a|micle mearc‐stapan
1348b|mōras healdan,
1349a|ellor‐gǣstas:
1349b|þǣra ōðer wæs,
1350a|þæs þe hīe gewislīcost
1350b|gewitan meahton,
1351a|idese onlīcnes,
1351b|ōðer earm‐sceapen
1352a|on weres wæstmum
1352b|wræc‐lāstas træd,
1353a|næfne hē wæs māra
1353b|þonne ǣnig man ōðer,
1354a|þone on geār‐dagum
1354b|Grendel nemdon
1355a|fold‐būende:
1355b|nō hīe fæder cunnon,
1356a|hwæðer him ǣnig wæs
1356b|ǣr ācenned
1357a|dyrnra gāsta.
1357b|Hīe dȳgel lond
1358a|warigeað, wulf‐hleoðu,
1358b|windige næssas,
1359a|frēcne fen‐gelād,
1359b|þǣr fyrgen‐strēam
1360a|under næssa genipu
1360b|niðer gewīteð,
1361a|flōd under foldan;
1361b|nis þæt feor heonon
1362a|mīl‐gemearces,
1362b|þæt se mere standeð,
1363a|ofer þǣm hongiað
1363b|hrīmge bearwas,
1364a|wudu wyrtum fæst,
1364b|wæter oferhelmað.
1365a|Þǣr mæg nihta gehwǣm
1365b|nīð‐wundor sēon,
1366a|fȳr on flōde;
1366b|nō þæs frōd leofað
1367a|gumena bearna,
1367b|þæt þone grund wite;
1368a|þēah þe hǣð‐stapa
1368b|hundum geswenced,
1369a|heorot hornum trum
1369b|holt‐wudu sēce,
1370a|feorran geflȳmed,
1370b|ǣr hē feorh seleð,
1371a|aldor on ōfre,
1371b|ǣr hē in wille,
1372a|hafelan hȳdan.
1372b|Nis þæt hēoru stōw:
1373a|þonon ȳð‐geblond
1373b|up āstīgeð
1374a|won tō wolcnum,
1374b|þonne wind styreð
1375a|lāð gewidru,
1375b|oð þæt lyft drysmað,
1376a|roderas rēotað.
1376b|Nū is rǣd gelang
1377a|eft æt þē ānum!
1377b|Eard gīt ne const,
1378a|frēcne stōwe,
1378b|þǣr þū findan miht
1379a|sinnigne secg:
1379b|sēc gif þū dyrre!
1380a|Ic þē þā fǣhðe
1380b|fēo lēanige,
1381a|eald‐gestrēonum,
1381b|swā ic ǣr dyde,
1382a|wundnum golde,
1382b|gyf þū on weg cymest."
1383a|Bēowulf maðelode,
1383b|bearn Ecgþēowes:
